RPM;speed
2115;40
2180;40
2142;40
2116;39
2039;38
1987;37
1956;36
1918;36
1867;35
1321;31
881;23
748;19
800;14
757;10
769;0
777;0
773;0
756;0
770;0
768;0
743;0
738;0
755;0
740;0
750;0
751;0
738;0
744;0
757;0
752;0
745;0
782;0
760;0
775;0
765;0
776;0
738;0
763;0
813;0
2214;0
1876;0
2362;13
2087;18
1894;23
2323;30
2242;33
2020;37
2187;41
2329;43
1793;45
1882;48
1913;49
1919;49
1906;49
1947;50
2016;52
2114;54
2158;55
2183;56
2222;57
2257;58
1795;57
1868;57
1844;56
1829;55
1793;54
1766;53
1731;52
1720;52
1706;52
1709;52
1702;51
1680;51
1669;50
1662;50
1678;51
1694;51
1682;51
1678;51
1651;50
1653;50
1639;49
1646;50
1636;50
1645;50
1658;50
1663;50
1639;50
1642;50
1651;49
1656;50
1672;50
1669;50
1661;50
1633;49
1601;48
1547;47
1512;46
1400;43
1323;40
1310;39
1311;40
1343;40
1383;41
1391;42
1390;42
1412;42
1433;43
1445;43
1419;43
1399;43
1405;42
1417;43
1433;43
1437;43
1432;43
1433;43
1435;43
1417;43
1392;42
1422;42
1435;43
1458;44
1462;44
1469;44
1477;45
1475;44
1448;44
1414;43
1425;42
1421;42
1396;42
1417;42
1449;44
1474;44
1472;45
1466;44
1450;44
1440;44
1442;43
1445;43
1457;44
1473;44
1484;45
1461;45
1441;44
1393;42
1381;42
1362;41
1393;42
1446;43
1494;45
1527;46
1518;46
1451;44
1014;41
851;37
766;33
1064;29
1449;26
1423;26
1530;28
1669;31
1805;34
1886;35
1678;32
957;25
840;23
2021;23
1159;21
862;20
1796;20
2011;26
2255;29
1778;33
1980;36
2127;39
2211;41
2310;43
2172;44
1762;45
1771;45
1791;46
1807;46
1807;46
1824;47
1787;46
1780;46
1754;45
1703;43
1648;42
1626;42
1615;41
1554;40
986;31
770;23
786;18
787;10
752;10
789;0
766;0
767;0
757;0
752;0
769;0
764;0
748;0
761;0
758;0
750;0
756;0
755;0
732;0
774;0
773;0
736;0
765;0
782;0
762;0
737;0
750;0
754;0
760;0
1956;0
1759;8
2494;16
2046;19
1866;24
2199;29
2515;33
2706;36
1952;36
2081;39
2099;39
2033;38
1963;37
1921;36
1967;36
2044;38
2171;40
2301;42
2428;45
2165;46
1820;47
1839;47
1803;47
1780;46
1741;44
1688;44
1780;45
1797;46
1832;47
1843;47
1863;48
1887;49
1929;49
1934;50
1943;50
1962;50
1922;50
1883;48
1844;47
1833;47
1799;47
1766;45
1267;43
846;37
764;33
744;30
797;25
1402;22
1632;21
1731;22
1956;25
2275;30
1802;33
2014;37
2344;39
1692;43
1770;46
1784;46
1722;44
1704;43
1727;44
1746;44
1754;45
1734;44
1685;43
1606;42
1538;40
1430;37
1316;34
949;30
704;26
795;22
799;18
765;13
773;11
818;8
1548;7
1761;11
2299;16
1552;17
1505;20
1426;19
1345;18
1653;20
1994;25
2228;29
1701;31
1904;35
2067;38
2056;40
1644;42
1728;44
1761;45
1783;45
1780;45
1770;45
1780;46
